TransactionType,TransactionID,TransactionDate,CustomerID,ProductOrService,Category,Revenue,Cost,Margin,Channel,PaymentMethod,EmployeeID,Status,Notes
Sale,SO700001,2024-01-01,10373,P011,Sales,19.9,6.2,13.7,Phone,Cash,E03,Completed,Phone sales order
Sale,SO700002,2024-01-01,10217,P020,Sales,11.3,2.8,8.5,WhatsApp,Cash,E03,Completed,Phone sales order
Sale,SO700003,2024-01-01,10205,P023,Sales,16.92,1.2,15.72,In-Store,Bizum,E02,Completed,Phone sales order
Repair,RT900001,2024-01-01,10343,Oppo A78 - Water Damage,Repairs,117.6,37.95,79.65,WhatsApp,Bizum,E06,Completed,Water Damage
Sale,SO700004,2024-01-02,10351,P018; P018,Sales,68.91,20.0,48.91,Phone,Card,E01,Completed,Phone sales order
Repair,RT900002,2024-01-02,10753,Huawei P30 - Camera Failure,Repairs,126.75,41.95,84.8,Phone,Bizum,E06,Completed,Camera Failure
Repair,RT900003,2024-01-02,10622,Oppo Find X5 - Speaker Issue,Repairs,93.55,29.45,64.1,Walk-in,PayPal,E05,Completed,Speaker Issue
Sale,SO700005,2024-01-03,10237,P011,Sales,19.9,6.2,13.7,In-Store,Cash,E02,Completed,Phone sales order
Sale,SO700006,2024-01-03,10270,P023; P019; P013,Sales,194.06,75.9,118.16,In-Store,Bank Transfer,E09,Refunded,Phone sales order
Repair,RT900004,2024-01-03,10451,Huawei P30 - Camera Failure,Repairs,136.75,45.45,91.3,WhatsApp,PayPal,E05,Completed,Camera Failure
Repair,RT900005,2024-01-03,10043,Huawei P40 - Screen Crack,Repairs,232.45,81.2,151.25,Website,Card,E06,Completed,Screen Crack
Sale,SO700007,2024-01-04,10108,P022,Sales,24.9,1.5,23.4,Phone,Bizum,E12,Completed,Phone sales order
Sale,SO700008,2024-01-04,10543,P017,Sales,19.8,4.0,15.8,Phone,Card,E03,Completed,Phone sales order
Repair,RT900006,2024-01-04,10159,OnePlus Nord 3 - Water Damage,Repairs,107.6,34.45,73.15,Walk-in,Bizum,E05,Completed,Water Damage
Repair,RT900007,2024-01-04,10787,Huawei P30 - Water Damage,Repairs,97.6,30.95,66.65,WhatsApp,Card,E06,Completed,Water Damage
Repair,RT900008,2024-01-04,10482,Apple iPhone SE - Back Glass Damage,Repairs,88.95,27.95,61.0,WhatsApp,Card,E04,Completed,Back Glass Damage
Sale,SO700009,2024-01-05,10457,P010; P015,Sales,559.45,403.0,156.45,In-Store,Bizum,E03,Completed,Phone sales order
Repair,RT900009,2024-01-06,10463,Google Pixel 7 - No Power,Repairs,183.2,62.45,120.75,Phone,Cash,E11,Completed,No Power
Repair,RT900010,2024-01-06,10166,Oppo Reno 10 - Speaker Issue,Repairs,88.55,27.7,60.85,WhatsApp,Bank Transfer,E05,Completed,Speaker Issue
Repair,RT900011,2024-01-06,10676,Oppo Reno 10 - Battery Drain,Repairs,110.15,35.7,74.45,WhatsApp,Card,E05,Completed,Battery Drain
Sale,SO700010,2024-01-07,10577,P009; P018,Sales,614.22,425.0,189.22,In-Store,Bank Transfer,E02,Completed,Phone sales order
Sale,SO700011,2024-01-07,10182,P003,Sales,854.05,690.0,164.05,In-Store,Cash,E01,Completed,Phone sales order
Repair,RT900012,2024-01-07,10267,Oppo A78 - Water Damage,Repairs,107.6,34.45,73.15,Phone,Cash,E11,Completed,Water Damage
Sale,SO700012,2024-01-08,10139,P023,Sales,19.9,1.2,18.7,WhatsApp,PayPal,E09,Completed,Phone sales order
Repair,RT900013,2024-01-08,10309,Xiaomi Redmi Note 11 - Screen Crack,Repairs,242.45,84.7,157.75,Walk-in,Bizum,E06,Completed,Screen Crack
Repair,RT900014,2024-01-08,10427,Apple iPhone 14 - Screen Crack,Repairs,269.05,94.45,174.6,Walk-in,PayPal,E05,Completed,Screen Crack
Repair,RT900015,2024-01-08,10004,Apple iPhone 15 - Battery Drain,Repairs,131.35,43.45,87.9,Walk-in,Bizum,E11,Completed,Battery Drain
Sale,SO700013,2024-01-09,10326,P019; P011,Sales,84.22,39.2,45.02,In-Store,Card,E08,Completed,Phone sales order
Sale,SO700014,2024-01-09,10361,P005; P003,Sales,3226.3,2680.0,546.3,Marketplace,PayPal,E08,Completed,Phone sales order
Sale,SO700015,2024-01-10,10520,P018,Sales,14.32,5.0,9.32,WhatsApp,Cash,E01,Completed,Phone sales order
Sale,SO700016,2024-01-10,10524,P007; P014,Sales,1360.2,1128.7,231.5,WhatsApp,PayPal,E01,Completed,Phone sales order
Sale,SO700017,2024-01-10,10343,P023,Sales,16.92,1.2,15.72,In-Store,Cash,E08,Completed,Phone sales order
Sale,SO700018,2024-01-10,10607,P019,Sales,34.9,16.5,18.4,In-Store,Cash,E03,Completed,Phone sales order
Repair,RT900016,2024-01-10,10003,OnePlus Nord 3 - Water Damage,Repairs,107.6,34.45,73.15,WhatsApp,Card,E05,Completed,Water Damage
Repair,RT900017,2024-01-10,10384,Oppo Find X5 - Water Damage,Repairs,82.6,25.7,56.9,Walk-in,Cash,E11,Completed,Water Damage
Repair,RT900018,2024-01-10,10711,Oppo A78 - Camera Failure,Repairs,121.75,40.2,81.55,Walk-in,Bizum,E06,Completed,Camera Failure
Repair,RT900019,2024-01-11,10262,Xiaomi Poco X5 - Screen Crack,Repairs,232.45,81.2,151.25,Walk-in,Card,E06,Completed,Screen Crack
Repair,RT900020,2024-01-11,10705,Google Pixel 8 - Camera Failure,Repairs,146.75,48.95,97.8,Walk-in,Card,E06,Completed,Camera Failure
Repair,RT900021,2024-01-11,10048,Samsung Galaxy S22 - No Power,Repairs,183.2,62.45,120.75,WhatsApp,Bizum,E11,Completed,No Power
Sale,SO700019,2024-01-12,10192,P009,Sales,1138.1,840.0,298.1,In-Store,Cash,E09,Completed,Phone sales order
Sale,SO700020,2024-01-13,10226,P005,Sales,719.1,610.0,109.1,Marketplace,Bizum,E12,Completed,Phone sales order
Sale,SO700021,2024-01-13,10713,P012,Sales,12.67,3.1,9.57,WhatsApp,Cash,E12,Completed,Phone sales order
Repair,RT900022,2024-01-13,10791,Google Pixel 8a - Screen Crack,Repairs,237.45,82.95,154.5,Walk-in,Card,E05,Completed,Screen Crack
Repair,RT900023,2024-01-13,10734,OnePlus Nord 3 - Screen Crack,Repairs,267.45,93.45,174.0,Website,PayPal,E05,Completed,Screen Crack
Sale,SO700022,2024-01-14,10560,P007,Sales,424.15,375.0,49.15,Website,Card,E09,Completed,Phone sales order
Sale,SO700023,2024-01-14,10255,P019; P024; P008,Sales,634.71,447.5,187.21,WhatsApp,PayPal,E12,Completed,Phone sales order
Sale,SO700024,2024-01-14,10698,P002; P006,Sales,1505.85,1215.0,290.85,In-Store,Card,E01,Completed,Phone sales order
Sale,SO700025,2024-01-14,10753,P020,Sales,9.52,2.8,6.72,Marketplace,PayPal,E01,Completed,Phone sales order
Repair,RT900024,2024-01-14,10056,Huawei P40 - Charging Problem,Repairs,113.55,36.45,77.1,Walk-in,Card,E11,Completed,Charging Problem
Repair,RT900025,2024-01-14,10764,Apple iPhone 15 - Speaker Issue,Repairs,88.55,27.7,60.85,Walk-in,Cash,E04,Completed,Speaker Issue
Sale,SO700026,2024-01-15,10084,P015; P018,Sales,73.7,28.0,45.7,WhatsApp,Bizum,E08,Completed,Phone sales order
Repair,RT900026,2024-01-15,10762,Oppo Reno 10 - Back Glass Damage,Repairs,118.95,38.45,80.5,WhatsApp,Cash,E11,Completed,Back Glass Damage
Repair,RT900027,2024-01-15,10339,OnePlus Nord 3 - Charging Problem,Repairs,83.55,25.95,57.6,Walk-in,PayPal,E04,Completed,Charging Problem
Sale,SO700027,2024-01-16,10679,P004,Sales,1437.0,1080.0,357.0,WhatsApp,PayPal,E12,Completed,Phone sales order
Repair,RT900028,2024-01-16,10373,Xiaomi Xiaomi 13T - Back Glass Damage,Repairs,98.95,31.45,67.5,Walk-in,Bizum,E05,Completed,Back Glass Damage
Repair,RT900029,2024-01-16,10324,Oppo A78 - Speaker Issue,Repairs,93.55,29.45,64.1,Walk-in,Card,E06,Completed,Speaker Issue
Repair,RT900030,2024-01-16,10584,Oppo Reno 10 - Water Damage,Repairs,117.6,37.95,79.65,Walk-in,Cash,E04,Completed,Water Damage
Sale,SO700028,2024-01-17,10155,P006,Sales,220.15,190.0,30.15,Website,Bizum,E12,Completed,Phone sales order
Sale,SO700029,2024-01-17,10399,P002,Sales,2292.3,1935.0,357.3,Phone,Cash,E12,Completed,Phone sales order
Sale,SO700030,2024-01-17,10106,P024,Sales,59.9,8.0,51.9,WhatsApp,Cash,E09,Completed,Phone sales order
Repair,RT900031,2024-01-17,10380,Xiaomi Redmi Note 12 - Screen Crack,Repairs,267.45,93.45,174.0,Walk-in,Cash,E06,Completed,Screen Crack
Sale,SO700031,2024-01-18,10775,P006; P017; P009,Sales,825.0,612.0,213.0,Website,Card,E02,Completed,Phone sales order
Sale,SO700032,2024-01-18,10294,P002; P010,Sales,1947.0,1415.0,532.0,Website,Bizum,E09,Completed,Phone sales order
Sale,SO700033,2024-01-18,10266,P010; P013; P010,Sales,1039.3,778.4,260.9,In-Store,Cash,E12,Completed,Phone sales order
Sale,SO700034,2024-01-18,10132,P017; P010,Sales,1126.21,776.0,350.21,Marketplace,Bizum,E03,Refunded,Phone sales order
Sale,SO700035,2024-01-18,10370,P005; P011; P008,Sales,1294.01,1006.2,287.81,Phone,Cash,E12,Completed,Phone sales order
Sale,SO700036,2024-01-18,10010,P020; P017; P013,Sales,62.35,21.6,40.75,In-Store,PayPal,E09,Completed,Phone sales order
Repair,RT900032,2024-01-18,10729,Samsung Galaxy S24 - Charging Problem,Repairs,78.55,24.2,54.35,Website,Card,E04,Completed,Charging Problem
Repair,RT900033,2024-01-18,10663,Huawei P50 - Screen Crack,Repairs,247.45,86.45,161.0,Walk-in,Bizum,E04,Completed,Screen Crack
Repair,RT900034,2024-01-18,10002,Samsung Galaxy S21 - Battery Drain,Repairs,100.15,32.2,67.95,Walk-in,Card,E05,Completed,Battery Drain
Sale,SO700037,2024-01-19,10261,P017,Sales,18.81,4.0,14.81,Phone,Bizum,E12,Completed,Phone sales order
Sale,SO700038,2024-01-19,10421,P004,Sales,479.0,360.0,119.0,Website,Card,E01,Completed,Phone sales order
Sale,SO700039,2024-01-19,10451,P001; P008,Sales,1478.05,1150.0,328.05,In-Store,Card,E08,Completed,Phone sales order
Sale,SO700040,2024-01-19,10488,P002; P019,Sales,2646.46,1984.5,661.96,Website,Cash,E08,Completed,Phone sales order
Repair,RT900035,2024-01-19,10593,Apple iPhone 12 - Screen Crack,Repairs,279.05,97.95,181.1,Walk-in,Bizum,E05,Completed,Screen Crack
Sale,SO700041,2024-01-20,10017,P018; P015,Sales,136.7,59.0,77.7,Website,Cash,E12,Completed,Phone sales order
Sale,SO700042,2024-01-20,10512,P021,Sales,59.8,22.0,37.8,In-Store,Bizum,E01,Completed,Phone sales order
Sale,SO700043,2024-01-20,10354,P011,Sales,18.91,6.2,12.71,Phone,Cash,E12,Completed,Phone sales order
Sale,SO700044,2024-01-20,10247,P008; P013; P007,Sales,2024.45,1523.4,501.05,Marketplace,Bizum,E01,Completed,Phone sales order
Sale,SO700045,2024-01-20,10103,P024,Sales,56.9,8.0,48.9,Website,Cash,E02,Completed,Phone sales order
Repair,RT900036,2024-01-20,10208,Xiaomi Redmi Note 13 - Back Glass Damage,Repairs,98.95,31.45,67.5,Walk-in,Card,E04,Completed,Back Glass Damage
Repair,RT900037,2024-01-20,10438,Apple iPhone 12 - Speaker Issue,Repairs,113.55,36.45,77.1,Walk-in,Bizum,E06,Completed,Speaker Issue
Repair,RT900038,2024-01-20,10700,Google Pixel 7 - Speaker Issue,Repairs,78.55,24.2,54.35,WhatsApp,Cash,E11,Completed,Speaker Issue
Repair,RT900039,2024-01-20,10064,Huawei P30 - Battery Drain,Repairs,125.15,40.95,84.2,WhatsApp,Cash,E05,Completed,Battery Drain
Sale,SO700046,2024-01-21,10311,P014,Sales,11.61,3.7,7.91,In-Store,Bank Transfer,E02,Completed,Phone sales order
Sale,SO700047,2024-01-21,10373,P012,Sales,14.9,3.1,11.8,In-Store,Cash,E01,Completed,Phone sales order
Repair,RT900040,2024-01-21,10617,Xiaomi Xiaomi 13T - Camera Failure,Repairs,156.75,52.45,104.3,Walk-in,Card,E05,Completed,Camera Failure
Repair,RT900041,2024-01-21,10078,Samsung Galaxy S23 - Water Damage,Repairs,82.6,25.7,56.9,WhatsApp,Card,E11,Completed,Water Damage
Repair,RT900042,2024-01-21,10253,Xiaomi Redmi Note 12 - Screen Crack,Repairs,247.45,86.45,161.0,Website,Bizum,E11,Completed,Screen Crack
Repair,RT900043,2024-01-21,10608,OnePlus Nord 4 - Charging Problem,Repairs,113.55,36.45,77.1,Walk-in,Card,E06,Completed,Charging Problem
Sale,SO700048,2024-01-22,10317,P019,Sales,99.46,49.5,49.96,Phone,PayPal,E02,Completed,Phone sales order
Sale,SO700049,2024-01-22,10545,P020,Sales,35.7,8.4,27.3,Phone,Bizum,E03,Completed,Phone sales order
Sale,SO700050,2024-01-22,10121,P018,Sales,17.9,5.0,12.9,In-Store,Bizum,E08,Completed,Phone sales order
Repair,RT900044,2024-01-23,10669,OnePlus Nord 4 - Back Glass Damage,Repairs,108.95,34.95,74.0,Website,Bizum,E11,Completed,Back Glass Damage
Repair,RT900045,2024-01-24,10683,Xiaomi Xiaomi 13T - Battery Drain,Repairs,135.15,44.45,90.7,Walk-in,PayPal,E04,Completed,Battery Drain
Repair,RT900046,2024-01-24,10287,Apple iPhone SE - Battery Drain,Repairs,151.35,50.45,100.9,Walk-in,Bizum,E11,Completed,Battery Drain
Sale,SO700051,2024-01-25,10154,P016; P018,Sales,72.92,31.0,41.92,Website,Cash,E08,Completed,Phone sales order
Repair,RT900047,2024-01-25,10345,Samsung Galaxy S22 - Speaker Issue,Repairs,78.55,24.2,54.35,Walk-in,PayPal,E05,Completed,Speaker Issue
Sale,SO700052,2024-01-26,10456,P002; P003,Sales,1660.6,1335.0,325.6,Website,Bizum,E01,Completed,Phone sales order
Sale,SO700053,2024-01-26,10473,P008; P021; P021,Sales,1041.9,813.0,228.9,Phone,Cash,E08,Completed,Phone sales order
Sale,SO700054,2024-01-26,10161,P019,Sales,88.99,49.5,39.49,In-Store,Card,E12,Completed,Phone sales order
Sale,SO700055,2024-01-26,10445,P008,Sales,476.1,390.0,86.1,In-Store,PayPal,E03,Completed,Phone sales order
Sale,SO700056,2024-01-26,10145,P017,Sales,9.9,2.0,7.9,In-Store,Card,E03,Completed,Phone sales order
Sale,SO700057,2024-01-26,10549,P022,Sales,22.41,1.5,20.91,Phone,Bizum,E08,Completed,Phone sales order
Repair,RT900048,2024-01-26,10576,Apple iPhone SE - Charging Problem,Repairs,78.55,24.2,54.35,WhatsApp,PayPal,E05,Completed,Charging Problem
Repair,RT900049,2024-01-26,10710,Oppo Reno 10 - Water Damage,Repairs,92.6,29.2,63.4,Walk-in,Bizum,E04,Completed,Water Damage
Sale,SO700058,2024-01-27,10667,P001,Sales,999.0,760.0,239.0,WhatsApp,Cash,E01,Completed,Phone sales order
Repair,RT900050,2024-01-27,10431,Oppo Reno 10 - Screen Crack,Repairs,267.45,93.45,174.0,WhatsApp,Bizum,E04,Completed,Screen Crack
Repair,RT900051,2024-01-27,10109,Samsung Galaxy S21 - Screen Crack,Repairs,242.45,84.7,157.75,WhatsApp,Card,E05,Waiting Parts,Screen Crack
Repair,RT900052,2024-01-27,10406,Huawei P30 - Screen Crack,Repairs,267.45,93.45,174.0,Walk-in,Bizum,E06,Completed,Screen Crack
Repair,RT900053,2024-01-27,10079,Oppo Reno 10 - Water Damage,Repairs,87.6,27.45,60.15,Walk-in,Bizum,E11,Completed,Water Damage
Sale,SO700059,2024-01-28,10629,P022; P013,Sales,49.8,9.9,39.9,In-Store,Card,E01,Completed,Phone sales order
Sale,SO700060,2024-01-28,10387,P006,Sales,246.05,190.0,56.05,Phone,Card,E03,Completed,Phone sales order
Sale,SO700061,2024-01-28,10781,P020; P002; P013,Sales,932.01,670.2,261.81,WhatsApp,Card,E12,Completed,Phone sales order
Sale,SO700062,2024-01-28,10068,P010,Sales,494.1,385.0,109.1,WhatsApp,Cash,E12,Completed,Phone sales order
Sale,SO700063,2024-01-28,10595,P004,Sales,1293.3,1080.0,213.3,In-Store,Bank Transfer,E09,Completed,Phone sales order
Repair,RT900054,2024-01-28,10016,Oppo Find X5 - Battery Drain,Repairs,100.15,32.2,67.95,Walk-in,Card,E06,Completed,Battery Drain
Repair,RT900055,2024-01-28,10495,Samsung Galaxy A55 - Screen Crack,Repairs,237.45,82.95,154.5,WhatsApp,Bank Transfer,E04,Completed,Screen Crack
Repair,RT900056,2024-01-28,10303,Google Pixel 8 - Charging Problem,Repairs,88.55,27.7,60.85,Walk-in,PayPal,E04,Completed,Charging Problem
Repair,RT900057,2024-01-28,10777,Oppo Find X5 - Speaker Issue,Repairs,88.55,27.7,60.85,Website,Card,E11,Completed,Speaker Issue
Sale,SO700064,2024-01-29,10422,P023; P023,Sales,38.81,2.4,36.41,In-Store,Cash,E02,Completed,Phone sales order
Sale,SO700065,2024-01-29,10329,P022,Sales,22.41,1.5,20.91,WhatsApp,Cash,E09,Completed,Phone sales order
Sale,SO700066,2024-01-30,10185,P018,Sales,35.8,10.0,25.8,Marketplace,Card,E03,Completed,Phone sales order
Repair,RT900058,2024-01-30,10780,Xiaomi Poco X5 - Battery Drain,Repairs,125.15,40.95,84.2,Phone,Card,E06,Completed,Battery Drain
Repair,RT900059,2024-01-30,10068,Google Pixel 8 - Battery Drain,Repairs,135.15,44.45,90.7,Website,Cash,E06,Completed,Battery Drain
